DATE, TIME, TEMP (C), PRESSURE (hPa)
2020/3/2,15:27:54,18.61,990.06
2020/3/2,15:27:56,18.96,990.08
2020/3/2,15:27:58,18.98,990.03
2020/3/2,15:28:0,19.00,990.07
2020/3/2,15:28:2,19.02,990.11
2020/3/2,15:28:4,19.03,990.17
2020/3/2,15:28:6,19.04,990.18
2020/3/2,15:28:8,19.05,990.15
2020/3/2,15:28:10,19.05,990.13
2020/3/2,15:28:13,19.06,990.15
2020/3/2,15:28:15,19.07,990.15
2020/3/2,15:28:17,19.08,990.18
2020/3/2,15:28:19,19.08,990.15
2020/3/2,15:28:21,19.09,990.02
2020/3/2,15:28:23,19.09,990.01
2020/3/2,15:28:25,19.10,990.10
2020/3/2,15:28:27,19.10,990.07
2020/3/2,15:28:29,19.11,990.03
2020/3/2,15:28:31,19.12,990.07
2020/3/2,15:28:33,19.13,990.10
2020/3/2,15:28:35,19.13,990.06
2020/3/2,15:28:37,19.14,990.07
2020/3/2,15:28:39,19.14,990.09
2020/3/2,15:28:41,19.14,990.08
2020/3/2,15:28:43,19.14,990.09
2020/3/2,15:28:45,19.13,990.10
2020/3/2,15:28:47,19.12,990.16
2020/3/2,15:28:49,19.11,990.18
2020/3/2,15:28:51,19.10,990.23
2020/3/2,15:28:53,19.10,990.21
2020/3/2,15:28:55,19.10,990.25
2020/3/2,15:28:57,19.09,990.34
2020/3/2,15:28:59,19.08,990.40
2020/3/2,15:29:1,19.06,990.45
2020/3/2,15:29:3,19.06,990.45
2020/3/2,15:29:5,19.04,990.51
2020/3/2,15:29:7,19.04,990.52
2020/3/2,15:29:9,19.03,990.55
2020/3/2,15:29:11,19.02,990.57
2020/3/2,15:29:13,19.02,990.64
2020/3/2,15:29:15,19.01,990.64
2020/3/2,15:29:17,19.00,990.70
2020/3/2,15:29:19,18.99,990.69
2020/3/2,15:29:22,18.98,990.77
2020/3/2,15:29:24,18.97,990.81
2020/3/2,15:29:26,18.95,990.83
2020/3/2,15:29:28,18.95,990.85
2020/3/2,15:29:30,18.94,990.87
2020/3/2,15:29:32,18.91,990.87
2020/3/2,15:29:34,18.89,990.99
2020/3/2,15:29:36,18.88,991.01
2020/3/2,15:29:38,18.86,991.07
2020/3/2,15:29:40,18.84,991.09
2020/3/2,15:29:42,18.83,991.10
2020/3/2,15:29:44,18.81,991.16
2020/3/2,15:29:46,18.80,991.18
2020/3/2,15:29:48,18.79,991.19
2020/3/2,15:29:50,18.77,991.25
2020/3/2,15:29:52,18.76,991.29
2020/3/2,15:29:54,18.74,991.37
2020/3/2,15:29:56,18.73,991.38
2020/3/2,15:29:58,18.71,991.38
2020/3/2,15:30:0,18.71,991.33
2020/3/2,15:30:2,18.71,991.29
2020/3/2,15:30:4,18.71,991.28
2020/3/2,15:30:6,18.70,991.24
2020/3/2,15:30:8,18.69,991.21
2020/3/2,15:30:10,18.67,991.13
2020/3/2,15:30:12,18.66,991.10
2020/3/2,15:30:14,18.64,991.04
2020/3/2,15:30:16,18.63,991.02
2020/3/2,15:30:18,18.59,991.01
2020/3/2,15:30:20,18.57,990.92
2020/3/2,15:30:22,18.56,990.87
2020/3/2,15:30:24,18.55,990.88
2020/3/2,15:30:26,18.53,990.81
2020/3/2,15:30:28,18.51,990.76
2020/3/2,15:30:30,18.51,990.72
2020/3/2,15:30:33,18.50,990.71
2020/3/2,15:30:35,18.49,990.67
2020/3/2,15:30:37,18.49,990.63
2020/3/2,15:30:39,18.48,990.58
2020/3/2,15:30:41,18.48,990.57
2020/3/2,15:30:43,18.48,990.52
2020/3/2,15:30:45,18.49,990.46
2020/3/2,15:30:47,18.48,990.43
2020/3/2,15:30:49,18.48,990.41
2020/3/2,15:30:51,18.48,990.37
2020/3/2,15:30:53,18.48,990.31
2020/3/2,15:30:55,18.48,990.27
2020/3/2,15:30:57,18.47,990.24
2020/3/2,15:30:59,18.47,990.20
2020/3/2,15:31:1,18.45,990.13
2020/3/2,15:31:3,18.45,990.09
2020/3/2,15:31:5,18.45,990.09
2020/3/2,15:31:7,18.45,990.07
2020/3/2,15:31:9,18.45,990.08
2020/3/2,15:31:11,18.46,990.07
2020/3/2,15:31:13,18.47,989.99
2020/3/2,15:31:15,18.49,990.07
2020/3/2,15:31:17,18.52,990.09
